id,bucket,is_root,spam,text,parent_text
4,experiment,True,0,The biggest challenge of the 21st century is the irony of technologies of abundance in the hands of those thinking in terms of scarcity,
5,experiment,True,0,This is the most serious financial situation we have known in generations,
6,experiment,True,0,Children from slum backgrounds are a potential menace to our society,
7,experiment,True,0,"They want to keep it all for themselves, and I don't blame them, but it ends up being a rich ghetto",
8,experiment,True,0,"It's not just for work, it's not just for play, we think it's the one phone you can use for your entire life",
9,experiment,True,0,"This boy, let's say he's the product of a broken home and a filthy neighbourhood, we can't help that, we get to decide whether he's innocent or guilty",
10,experiment,True,0,Dinosaurs and humans walked the earth at the same time,
11,experiment,True,0,"No reptiles have fur, and all snakes are reptiles, therefore no snakes have fur",
12,experiment,True,0,"All horses have hooves, and no humans have hooves, therefore some humans are not horses",
13,experiment,True,0,"All squares are rectangles, and all squares are rhombuses, therefore some rhombuses are rectangles",
14,experiment,False,0,Children from slum backgrounds are  a potential menace to our society.,Children from slum backgrounds are a potential menace to our society
15,experiment,False,0,"It's not just for work, it's not just for play, we think it's the one phone you can use for your entire life.","It's not just for work, it's not just for play, we think it's the one phone you can use for your entire life"
16,experiment,False,0,The biggest challenge of the 21st century is the irony of technologies of ambundance and the effect it has on scarsity,The biggest challenge of the 21st century is the irony of technologies of abundance in the hands of those thinking in terms of scarcity
17,experiment,False,0,Dinosaurs and humans walked the earth at the same time,Dinosaurs and humans walked the earth at the same time
18,experiment,False,0,"This boy, let's say he's the product of a broken home and a filthy neighbourhood, we can't help that, we get to decide if he's innocent or guilty.","This boy, let's say he's the product of a broken home and a filthy neighbourhood, we can't help that, we get to decide whether he's innocent or guilty"
19,experiment,False,0,"All horses have hooves, no humans have hooves, therefore some humans are not horses.","All horses have hooves, and no humans have hooves, therefore some humans are not horses"
20,experiment,False,0,"All squares are rectangles and all squares are rhombuses, therefore some rectangles are rhombuses.","All squares are rectangles, and all squares are rhombuses, therefore some rhombuses are rectangles"
21,experiment,False,0,"They want to keep it all for themselves, and I don't blame them, but it ends up being a rich ghetto","They want to keep it all for themselves, and I don't blame them, but it ends up being a rich ghetto"
22,experiment,False,0,"No reptiles have fur, and all snakes are reptiles, therefore no snakes have fur.","No reptiles have fur, and all snakes are reptiles, therefore no snakes have fur"
23,experiment,False,0,This is the most serious financial situation we have known in generations.,This is the most serious financial situation we have known in generations
24,experiment,False,0,This boy lets say he's from a broken home or a filthy neighborhood.  Who are we to decide.,"This boy, let's say he's the product of a broken home and a filthy neighbourhood, we can't help that, we get to decide whether he's innocent or guilty"
25,experiment,False,0,This si the worst financial situation we have known our entire life.,This is the most serious financial situation we have known in generations
26,experiment,False,0,dinosaurs and humans walked the earth at the same time,Dinosaurs and humans walked the earth at the same time
27,experiment,False,0,"They want to keep it all for themselves, I don't blame them, but it ends up being a rich ghetto","They want to keep it all for themselves, and I don't blame them, but it ends up being a rich ghetto"
28,experiment,False,0,"no reptiles have fur, snakes are reptiles, therefore snakes don't have fur.","No reptiles have fur, and all snakes are reptiles, therefore no snakes have fur."
29,experiment,False,0,children from slum backgrounds are a potential menace to our society,Children from slum backgrounds are a potential menace to our society
30,experiment,False,0,"All horses have hooves, no humans have hooves. Therefore some humans are not horses","All horses have hooves, no humans have hooves, therefore some humans are not horses."
31,experiment,False,0,"no reptiles have fur, snakes are reptiles, therefore snakes dont have fur","no reptiles have fur, snakes are reptiles, therefore snakes don't have fur."
32,experiment,False,0,"It's not for work, it's not just for play. We think its a phone you can sue your entire life.","It's not just for work, it's not just for play, we think it's the one phone you can use for your entire life"
33,experiment,False,0,"all horses have hooves, and no humans have hooves, so some humans aren't horses","All horses have hooves, and no humans have hooves, therefore some humans are not horses"
34,experiment,False,0,The biggest threat of technology irony.,The biggest challenge of the 21st century is the irony of technologies of abundance in the hands of those thinking in terms of scarcity
35,experiment,False,0,"All squares are rectangles, all rectangles are rhombuses. Therefore some rhombuses are square","All squares are rectangles, and all squares are rhombuses, therefore some rhombuses are rectangles"
36,experiment,False,0,this is the most serious financial situation we have known in generations,This is the most serious financial situation we have known in generations
37,experiment,False,0,Dinasours and humans walked this earth at the same time.,Dinosaurs and humans walked the earth at the same time
38,experiment,False,0,Children from slum backgrounds are potential menace to society.,Children from slum backgrounds are a potential menace to our society
39,experiment,False,0,"this boy, he's the product of a broken home and a filthy neighbourhood, we can't help that, we get to decide if he's innocent or guilty","This boy, let's say he's the product of a broken home and a filthy neighbourhood, we can't help that, we get to decide whether he's innocent or guilty"
40,experiment,False,0,"That boys lets say he's from a broken home and a filthy neighbourhood, We can't help him. We have to decide whether he is innocent or guilty","This boy, let's say he's the product of a broken home and a filthy neighbourhood, we can't help that, we get to decide whether he's innocent or guilty"
41,experiment,False,0,"All horses have hooves, no human has hooves. Therefore some humans are not horses.","All horses have hooves, no humans have hooves. Therefore some humans are not horses"
42,experiment,False,0,The biggest challenge of the 21st century is the technology of abundance in the hands of those thinking it's scarcity,The biggest challenge of the 21st century is the irony of technologies of abundance in the hands of those thinking in terms of scarcity
43,experiment,False,0,"The want to keep it all to themselves, I don;t blame them. It ends up ebing a rich ghetto.","They want to keep it all for themselves, I don't blame them, but it ends up being a rich ghetto"
44,experiment,False,0,The biggest thing in the 21st century is the technology of abundance in the hands of those with minds of scarcity,The biggest challenge of the 21st century is the irony of technologies of abundance in the hands of those thinking in terms of scarcity
45,experiment,False,0,"all squares are rectangles, and some rectangles are rhombuses, therefore some squares are rhombuses","All squares are rectangles, and all squares are rhombuses, therefore some rhombuses are rectangles"
46,experiment,False,0,"All squares are rectangles, all rectangles are rhombuses. Therefore all squares are rhombuses.","All squares are rectangles, and all squares are rhombuses, therefore some rhombuses are rectangles"
47,experiment,False,0,This is the most serious financial situation we have known in generations,This is the most serious financial situation we have known in generations.
48,experiment,False,0,Children from slum backgrounds are a menace to our society,Children from slum backgrounds are  a potential menace to our society.
49,experiment,False,1,"it's not just for work, it's not just for play, we think it's a phone you can sue [sic] all your life","It's not for work, it's not just for play. We think its a phone you can sue your entire life."
50,experiment,False,0,"No reptiles have fur, all snakes are reptiles. Therefore no snakes have fur","No reptiles have fur, and all snakes are reptiles, therefore no snakes have fur"
51,experiment,False,0,Dinosaurs and humans walked this earth at the same time,Dinasours and humans walked this earth at the same time.
52,experiment,False,0,"They want to keep it all for themselves, and I dont blame them, but it ends up being a rich ghetto","They want to keep it all for themselves, and I don't blame them, but it ends up being a rich ghetto"
53,experiment,False,0,"All horses have hooves,  no humans have hooves.  Therefore humans are not horses","All horses have hooves, and no humans have hooves, therefore some humans are not horses"
54,experiment,False,0,"It's not just for work, it's not just for play, we think it is the one phone you can use for your entire life","It's not just for work, it's not just for play, we think it's the one phone you can use for your entire life"
55,experiment,False,0,children from slum backgrounds are a menace to our society,Children from slum backgrounds are a menace to our society
56,experiment,False,0,"It's not just for work,  it's not just for play,  we think it is the phone you can use for your entire life","It's not just for work, it's not just for play, we think it's the one phone you can use for your entire life."
57,experiment,False,0,Dinosaurs and humans walked this earth at the same time,Dinosaurs and humans walked this earth at the same time
58,experiment,False,0,This is the most serious financial situation we have known or generations,this is the most serious financial situation we have known in generations
59,experiment,False,0,"no reptiles have fur,  snakes are reptiles,  therefore snakes do not have fur","no reptiles have fur, snakes are reptiles, therefore snakes dont have fur"
