id,bucket,is_root,spam,text,parent_text
3,experiment,True,0,Three bears driven down from the heights of the Pyrenees by snow have been decimating the sheep of the valley.,
4,experiment,True,0,"A criminal virago, Miss Fisher, was sentenced by the Liverpool court to 10 years' hard labour, while her lover got five.",
5,experiment,True,0,"Finding her son, Alvin, 69, hanged, Mrs Hunt, of Brighton, was so depressed she could not cut him down.",
6,experiment,True,0,An unidentified maker of paste jewels from the third district was fishing in a boat with his wife at Maldon. She fell. He dived. Both gone.,
7,experiment,True,0,"Because an automobile ran over his dog, a peasant from Bingham shot at another automobile. He got a year in jail, suspended.",
8,experiment,True,0,"Eugene Smith, of Ellsworth, near Bangor, entertained at his home Mrs Atwood. Eugene Taylor came to fetch her. They killed him. Love.",
11,experiment,False,0,An unidentified maker of paste jewels in the third district was fishing in a boat with his wife at Maldon. She fell. He dived. Both gone.,An unidentified maker of paste jewels from the third district was fishing in a boat with his wife at Maldon. She fell. He dived. Both gone.
12,experiment,False,0,"Finding her son, Alvin, 69, hanged, Mrs Hunt, of Brighton, was so upset she could not cut him down.","Finding her son, Alvin, 69, hanged, Mrs Hunt, of Brighton, was so depressed she could not cut him down."
13,experiment,False,0,"A criminal virago, Miss Fisher, was sentenced to 10 years' hard labour by the Liverpool crown court, while her lover got five.","A criminal virago, Miss Fisher, was sentenced by the Liverpool court to 10 years' hard labour, while her lover got five."
17,experiment,False,0,"Eugene Smith, of Ellsworth, near Bangor, entertained at his home Mrs Atwood. Eugene Taylor came to fetch her. They killed him. Love.","Eugene Smith, of Ellsworth, near Bangor, entertained at his home Mrs Atwood. Eugene Taylor came to fetch her. They killed him. Love."
19,experiment,False,0,"Because an automobile ran over his dog, a peasant from Bingham shot at another automobile.","Because an automobile ran over his dog, a peasant from Bingham shot at another automobile. He got a year in jail, suspended."
20,experiment,False,0,"an unidentified maker of paste jewellery in the third district, was diving from a boat in Maldon. His wife dived in, he followed, no one came up.",An unidentified maker of paste jewels in the third district was fishing in a boat with his wife at Maldon. She fell. He dived. Both gone.
21,experiment,False,0,"Eugene Smith, or Ellsworth, near Banger entertained at his home a Mrs Atwood, and Eugene Taylor came to get some water.","Eugene Smith, of Ellsworth, near Bangor, entertained at his home Mrs Atwood. Eugene Taylor came to fetch her. They killed him. Love."
22,experiment,False,0,Three bears driven down from the heights of the Pyrenees by snow have been decimating the sheep of the valley.,Three bears driven down from the heights of the Pyrenees by snow have been decimating the sheep of the valley.
24,experiment,False,0,"Because an automobile ran over his dog, a peasant from Bingham shot at another automobile. He got a year suspended sentence.","Because an automobile ran over his dog, a peasant from Bingham shot at another automobile. He got a year in jail, suspended."
25,experiment,False,0,"Finding her son, Alvin, 60 hanged, Mrs Hung of Brighton was so depressed she could not cut him down.","Finding her son, Alvin, 69, hanged, Mrs Hunt, of Brighton, was so depressed she could not cut him down."
26,experiment,False,0,"A criminal virago, was convicted. She got 10 years, her lover got 5 years.","A criminal virago, Miss Fisher, was sentenced by the Liverpool court to 10 years' hard labour, while her lover got five."
27,experiment,False,0,Three bears driven down from the height of the Pyrenees by the snow have been decimating the sheep of the valley,Three bears driven down from the heights of the Pyrenees by snow have been decimating the sheep of the valley.
29,experiment,False,0,"Finding her son Alvin, 60, hanged, Mrs Hung was so upset she was unable to cut him down.","Finding her son, Alvin, 60 hanged, Mrs Hung of Brighton was so depressed she could not cut him down."
30,experiment,False,0,"An unidentified maker of paste jewels from the third district was fishing in a boat with his wife at Maldon, She fell, He dived both gone.",An unidentified maker of paste jewels from the third district was fishing in a boat with his wife at Maldon. She fell. He dived. Both gone.
31,experiment,False,0,"A criminal virago, was convicted. She got 10 years, her lover got 5 years.","A criminal virago, was convicted. She got 10 years, her lover got 5 years."
32,experiment,False,0,"Three bears driven down from the Pyrenees by snow, have been decimating the sheep of the valley.",Three bears driven down from the height of the Pyrenees by the snow have been decimating the sheep of the valley
33,experiment,False,0,"Because an automobile ran over his dog, a peasant from Bingham shot at another automobile.","Because an automobile ran over his dog, a peasant from Bingham shot at another automobile."
34,experiment,False,0,"Eugene Atwood entertained Mrs Taylor at home, Eugene Taylor came to pick her up, they killed him for love.","Eugene Smith, of Ellsworth, near Bangor, entertained at his home Mrs Atwood. Eugene Taylor came to fetch her. They killed him. Love."
35,experiment,False,0,three bears from the Pyrenees came down the mountain and decimated the sheep,"Three bears driven down from the Pyrenees by snow, have been decimating the sheep of the valley."
36,experiment,False,0,finding Alvin 60 hanged. Mrs hung could not bring herself to cut him down,"Finding her son Alvin, 60, hanged, Mrs Hung was so upset she was unable to cut him down."
37,experiment,False,0,a criminal virago miss Elliott appeared at Liverpool crown court an got 10 years her lover got 5 years,"A criminal virago, Miss Fisher, was sentenced to 10 years' hard labour by the Liverpool crown court, while her lover got five."
38,experiment,False,0,after an automobile ran over his dog a peasant shot at another automobile and got 1 years suspended sentence,"Because an automobile ran over his dog, a peasant from Bingham shot at another automobile. He got a year suspended sentence."
39,experiment,False,0,an unidentified man from Bingham was fishing in his boat his wife at Maldon she fell in he dove both gone,"An unidentified maker of paste jewels from the third district was fishing in a boat with his wife at Maldon, She fell, He dived both gone."
40,experiment,False,0,Elliot smith entertained at a bar a Eugene came for a drink,"Eugene Smith, or Ellsworth, near Banger entertained at his home a Mrs Atwood, and Eugene Taylor came to get some water."
43,experiment,False,0,"Because a man shot at his dog, a peasant from Bingham shot at another man","Because an automobile ran over his dog, a peasant from Bingham shot at another automobile."
44,experiment,False,0,"A criminal virago was convicted. She got 10 years, her lover got five years.","A criminal virago, was convicted. She got 10 years, her lover got 5 years."
45,experiment,False,0,"Finding her son Alvin, 69, hanged, Mrs White was so distressed she could not cut him down.","Finding her son, Alvin, 69, hanged, Mrs Hunt, of Brighton, was so upset she could not cut him down."
